smid,major name
1,"Agriculture, Agriculture Operations, and Related Sciences"
2,Natural Resources and Conservation
3,Architecture and Related Services
4,"Area, Ethnic, Cultural, Gender, and Group Studies"
5,"Communication, Journalism, and Related Programs"
6,Communications Technologies/Technicians and Support Services
7,Computer and Information Sciences and Support Services
8,Personal and Culinary Services
9,Education
10,Engineering
11,Engineering Technologies and Engineering-Related Fields
12,"Foreign Languages, Literatures, and Linguistics"
13,Family and Consumer Sciences/Human Sciences
14,Legal Professions and Studies
15,English Language and Literature/Letters
16,"Liberal Arts and Sciences, General Studies and Humanities"
17,Library Science
18,Biological and Biomedical Sciences
19,Mathematics and Statistics
20,Military Technologies and Applied Sciences
21,Multi/Interdisciplinary Studies
22,"Parks, Recreation, Leisure, and Fitness Studies"
23,Philosophy and Religious Studies
24,Theology and Religious Vocations
25,Physical Sciences
26,Science Technologies/Technicians
27,Psychology
28,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services"
29,Public Administration and Social Service Professions
30,Social Sciences
31,Construction Trades
32,Mechanic and Repair Technologies/Technicians
33,Precision Production
34,Transportation and Materials Moving
35,Visual and Performing Arts
36,Health Professions and Related Programs
37,"Business, Management, Marketing, and Related Support Services"
38,History
